# reference form https://leetcode.com/discuss/general-discussion/522705/1000-LeetCode-Problems-within-a-Year
# data: 2020/3/8
#,,45.00%,38.20%,30.80%,,,,30.80%,
#,Title,Acc.,Diff.,Norm. Acc.,Avg. Acc.,Rel. Acc.,Points,Score,Premium
771,Jewels and Stones,84.60%,Easy,73.29%,45.10%,-51.35%,1,0.486,,
1119,Remove Vowels from a String,88.90%,Easy,72.49%,45.10%,-49.89%,1,0.501,,1
1350,Students With Invalid Departments,91.40%,Easy,71.60%,45.10%,-48.27%,1,0.517,Sql,1
511,Game Play Analysis I,79.00%,Easy,71.51%,45.10%,-48.10%,1,0.519,Sql,1
1068,Product Sales Analysis I,86.50%,Easy,70.84%,45.10%,-46.88%,1,0.531,Sql,1
1108,Defanging an IP Address,86.10%,Easy,69.85%,45.10%,-45.08%,1,0.549,,
1069,Product Sales Analysis II,85.40%,Easy,69.72%,45.10%,-44.85%,1,0.552,Sql,1
760,Find Anagram Mappings,80.50%,Easy,69.35%,45.10%,-44.18%,1,0.558,,1
709,To Lower Case,78.50%,Easy,68.10%,45.10%,-41.90%,1,0.581,,
595,Big Countries,76.20%,Easy,67.47%,45.10%,-40.75%,1,0.592,Sql,
1165,Single-Row Keyboard,84.50%,Easy,67.41%,45.10%,-40.64%,1,0.594,,1
1365,How Many Numbers Are Smaller Than the Current Number,87.30%,Easy,67.28%,45.10%,-40.40%,1,0.596,,
1342,Number of Steps to Reduce a Number to Zero,86.80%,Easy,67.12%,45.10%,-40.10%,1,0.599,,
1303,Find the Team Size,86.10%,Easy,66.99%,45.10%,-39.87%,1,0.601,Sql,1
613,Shortest Distance in a Line,75.80%,Easy,66.81%,45.10%,-39.54%,1,0.605,Sql,1
339,Nested List Weight Sum,71.70%,Easy,66.73%,45.10%,-39.40%,1,0.606,,1
1281,Subtract the Product and Sum of Digits of an Integer,84.60%,Easy,65.81%,45.10%,-37.73%,1,0.623,,
938,Range Sum of BST,79.30%,Easy,65.54%,45.10%,-37.24%,1,0.628,,
1295,Find Numbers with Even Number of Digits,84.50%,Easy,65.51%,45.10%,-37.17%,1,0.628,,
1313,Decompress Run-Length Encoded List,84.80%,Easy,65.54%,45.10%,-37.24%,1,0.628,,
461,Hamming Distance,71.10%,Easy,64.34%,45.10%,-35.04%,1,0.650,,
804,Unique Morse Code Words,76.00%,Easy,64.21%,45.10%,-34.81%,1,0.652,,
346,Moving Average from Data Stream,69.10%,Easy,64.03%,45.10%,-34.47%,1,0.655,,1
627,Swap Salary,73.10%,Easy,63.90%,45.10%,-34.25%,1,0.657,Sql,
617,Merge Two Binary Trees,72.70%,Easy,63.65%,45.10%,-33.79%,1,0.662,,
1221,Split a String in Balanced Strings,81.50%,Easy,63.59%,45.10%,-33.68%,1,0.663,,
359,Logger Rate Limiter,68.70%,Easy,63.43%,45.10%,-33.40%,1,0.666,,1
657,Robot Return to Origin,72.90%,Easy,63.26%,45.10%,-33.09%,1,0.669,,
561,Array Partition I,71.00%,Easy,62.77%,45.10%,-32.19%,1,0.678,,
104,Maximum Depth of Binary Tree,64.10%,Easy,62.57%,45.10%,-31.83%,1,0.682,,
832,Flipping an Image,74.70%,Easy,62.50%,45.10%,-31.69%,1,0.683,,
728,Self Dividing Numbers,73.00%,Easy,62.32%,45.10%,-31.37%,1,0.686,,
586,Customer Placing the Largest Number of Orders,70.40%,Easy,61.81%,45.10%,-30.43%,1,0.696,Sql,1
590,N-ary Tree Postorder Traversal,70.40%,Easy,61.75%,45.10%,-30.32%,1,0.697,,
589,N-ary Tree Preorder Traversal,70.30%,Easy,61.66%,45.10%,-30.17%,1,0.698,,
584,Find Customer Referee,70.20%,Easy,61.63%,45.10%,-30.12%,1,0.699,Sql,1
1021,Remove Outermost Parentheses,76.60%,Easy,61.63%,45.10%,-30.10%,1,0.699,,
1179,Reformat Department Table,78.80%,Easy,61.51%,45.10%,-29.89%,1,0.701,Sql,
1086,High Five,77.40%,Easy,61.47%,45.10%,-29.82%,1,0.702,,1
1134,Armstrong Number,78.10%,Easy,61.47%,45.10%,-29.81%,1,0.702,,1
1173,Immediate Food Delivery I,78.40%,Easy,61.20%,45.10%,-29.32%,1,0.707,Sql,1
136,Single Number,63.00%,Easy,61.01%,45.10%,-28.97%,1,0.710,,
1290,Convert Binary Number in a Linked List to Integer,79.90%,Easy,60.98%,45.10%,-28.93%,1,0.711,,
1266,Minimum Time Visiting All Points,79.30%,Easy,60.73%,45.10%,-28.47%,1,0.715,,
344,Reverse String,65.70%,Easy,60.65%,45.10%,-28.33%,1,0.717,,
905,Sort Array By Parity,73.70%,Easy,60.43%,45.10%,-27.92%,1,0.721,,
1251,Average Selling Price,78.70%,Easy,60.35%,45.10%,-27.78%,1,0.722,Sql,1
700,Search in a Binary Search Tree,70.40%,Easy,60.13%,45.10%,-27.38%,1,0.726,,
1213,Intersection of Three Sorted Arrays,77.70%,Easy,59.91%,45.10%,-26.98%,1,0.730,,1
1351,Count Negative Numbers in a Sorted Matrix,79.50%,Easy,59.69%,45.10%,-26.57%,1,0.734,,
557,Reverse Words in a String III,67.70%,Easy,59.53%,45.10%,-26.29%,1,0.737,,
1252,Cells with Odd Values in a Matrix,77.80%,Easy,59.44%,45.10%,-26.12%,1,0.739,,
509,Fibonacci Number,66.80%,Easy,59.33%,45.10%,-25.93%,1,0.741,,
1323,Maximum 69 Number,78.70%,Easy,59.30%,45.10%,-25.86%,1,0.741,,
559,Maximum Depth of N-ary Tree,67.40%,Easy,59.20%,45.10%,-25.69%,1,0.743,,
1180,Count Substrings with Only One Distinct Letter,76.50%,Easy,59.19%,45.10%,-25.67%,1,0.743,,1
961,N-Repeated Element in Size 2N Array,73.00%,Easy,58.91%,45.10%,-25.15%,1,0.749,,
1279,Traffic Light Controlled Intersection,77.40%,Easy,58.64%,45.10%,-24.67%,1,0.753,Concurrency,1
1085,Sum of Digits in the Minimum Number,74.50%,Easy,58.59%,45.10%,-24.57%,1,0.754,,1
1299,Replace Elements with Greatest Element on Right Side,77.60%,Easy,58.55%,45.10%,-24.50%,1,0.755,,
226,Invert Binary Tree,61.80%,Easy,58.49%,45.10%,-24.38%,1,0.756,,
852,Peak Index in a Mountain Array,70.90%,Easy,58.40%,45.10%,-24.23%,1,0.758,,
1148,Article Views I,75.00%,Easy,58.16%,45.10%,-23.79%,1,0.762,Sql,1
977,Squares of a Sorted Array,72.20%,Easy,57.87%,45.10%,-23.26%,1,0.767,,
1265,Print Immutable Linked List in Reverse,94.80%,Medium,76.25%,38.20%,-61.56%,2,0.769,,1
1304,Find N Unique Integers Sum up to Zero,76.60%,Easy,57.47%,45.10%,-22.54%,1,0.775,,
